ID; name; description; key0; key1; key2; use; value; weight; type; adjustment; shotsmax; shotscur; ndice; sdice; pdice; armor; wearflag; magicpower; magicrealm; special; flags0; flags1; flags2; flags3; flags4; flags5; flags6; flags7; flags8; flags9; flags10; flags11; flags12; flags13; flags14; flags15; questnum; strength; dexterity; constitution; intelligence; piety; sets_flag0; sets_flag1; sets_flag2; sets_flag3; sets_flag4; sets_flag5; sets_flag6; sets_flag7; sets_flag8; sets_flag9; sets_flag10; sets_flag11; sets_flag12; sets_flag13; sets_flag14; sets_flag15; special1; special2
0; gold pieces; My, how it glitters.; gold; coins; money; ; 1; 1; 10; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1; small knife; It has a sharp, pointy tip.; knife; ; ; ; 5; 2; 0; 0; 30; 30; 1; 5; 0; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
2; godentag; ; ; ; ; ; 100; 5; 2; 0; 40; 40; 1; 5; 0; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
3; short sword; ; sword; ; ; ; 50; 4; 1; 0; 25; 25; 1; 6; 0; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
4; small bag; Several objects can be put inside this bag.; bag; ; ; You firmly grasp a small bag with one of your hands.; 4; 2; 9; 0; 5; 0; 0; 0; 0; 0; 17; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
5; spear; ; ; ; ; ; 50; 3; 3; 0; 25; 25; 1; 6; 1; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
6; sling; ; ; ; ; ; 8; 1; 4; 0; 20; 20; 1; 4; 0; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
7; cloth hat; ; hat; ; ; ; 5; 1; 5; 0; 10; 10; 0; 0; 0; 1; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
8; cloth armor; ; armor; ; ; ; 10; 5; 5; 0; 15; 15; 0; 0; 0; 3; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
9; cloth sleeves; ; sleeves; ; ; ; 8; 2; 5; 0; 10; 10; 0; 0; 0; 1; 2; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
