rom_num; name; description; lolevel; hilevel; special; trap; trapexit; track; flags0; flags1; flags2; flags3; flags4; flags5; flags6; flags7; flags8; flags9; flags10; flags11; flags12; flags13; flags14; flags15; random0; random1; random2; random3; random4; random5; random6; random7; random8; random9; traffic; perm0; ptime0; perm1; ptime1; perm2; ptime2; perm3; ptime3; perm4; ptime4; perm5; ptime5; perm6; ptime6; perm7; ptime7; perm8; ptime8; perm9; ptime9; operm0; optime0; operm1; optime1; operm2; optime2; operm3; optime3; operm4; optime4; operm5; optime5; operm6; optime6; operm7; optime7; operm8; optime8; operm9; optime9; beenhere; x1name; x1destination; x1key; x1flag0; x1flag1; x1flag2; x1flag3; x1flag4; x1flag5; x1flag6; x1flag7; x1flag8; x1flag9; x2name; x2destination; x2key; x2flag0; x2flag1; x2flag2; x2flag3; x2flag4; x2flag5; x2flag6; x2flag7; x2flag8; x2flag9; x3name; x3destination; x3key; x3flag0; x3flag1; x3flag2; x3flag3; x3flag4; x3flag5; x3flag6; x3flag7; x3flag8; x3flag9; x4name; x4destination; x4key; x4flag0; x4flag1; x4flag2; x4flag3; x4flag4; x4flag5; x4flag6; x4flag7; x4flag8; x4flag9; x5name; x5destination; x5key; x5flag0; x5flag1; x5flag2; x5flag3; x5flag4; x5flag5; x5flag6; x5flag7; x5flag8; x5flag9; x6name; x6destination; x6key; x6flag0; x6flag1; x6flag2; x6flag3; x6flag4; x6flag5; x6flag6; x6flag7; x6flag8; x6flag9; x7name; x7destination; x7key; x7flag0; x7flag1; x7flag2; x7flag3; x7flag4; x7flag5; x7flag6; x7flag7; x7flag8; x7flag9; x8name; x8destination; x8key; x8flag0; x8flag1; x8flag2; x8flag3; x8flag4; x8flag5; x8flag6; x8flag7; x8flag8; x8flag9
0; Void; You can do this by typing 'sendmail tesseract', and following the directions.; 0; 0; 0; 0; 0; limbo; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 526;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1; The Tree of Life; The Tree of Life is symbolically one of the most interesting phemonena in Oceancrest.  From here, you can see the splendor of the city of  Oceancrest.  The Tree of Life provides much of the life-giving energy you can see and sense throughout the land.  It has always been a mystery to everyone, but no one seems to argue it.  You may start your quest in the Land of Mordor by heading down the tree.; 0; 0; 0; 0; 0; down; 31; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 778; 3600; 499; 3600; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 45361; down; 1784; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
2; Room #2; ; 0; 0; 0; 0; 0; south; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; south; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
3; Void; This is a place with nothing in it.  You stare in the distance in all directions but do not see anything, except upwards where there is a shimmer of light being emitted.; 0; 0; 0; 0; 0; up; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 3; 2; 5; 2; 1; 1; 2; 3; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 30; up; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
4; Black Market Alley; Wall Road West is very close to here, and a hodge-podge of shops line the alley on the north side.  There is a high fence on the south side. It looks like you can buy just about anything you ever imagined in these run-down little places.  A lot of shopkeepers wave merchandise at you.; 0; 0; 0; 0; 0; west; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 112; west; 20; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; east; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
5; Garth's Room of Quiet Thought; Tacked up on the walls are lists of m0dz he is planning to make to the game as well as posters of users who have been naughty and deserve to be deleted.  There are three buttons next to the door.  One is red, one is blue and the other is grey.; 0; 0; 0; 3; 1; door; 3; 5; 11; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 199; 199; 199; 199; 199; 3; 3; 3; 3; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 233; 3600; 234; 3600; 235; 3600; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 534; door; 1; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0;  ; 0; 0; 2; 3; 4; 5; 6; 82; 83; 85; 0; 0
6; Chat Room; ; 0; 0; 0; 0; 0; out; 11; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; out; 35; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
7; Hans' and Frans' Workout Gym; This room is filled with literally tons of workout equipment.  The eastern wall is mirrored to allow exercisors to get positive feedback during their workouts.  In the southwest corner you see Frans, Hans' twin brother, pressing with all his might on the bench press machine.  A ventilator in the roof gently blows fresh air around the room, lessening the stench from Frans' armpits.  Emanating from a powerful set of loudspeakers is the  raucous of rock music.  You flex in the mirror and notice how puny your muscles look in comparison to Hans' and Frans' iron biceps.; 1; 10; 0; 0; 0; out; 10; 12; 13; 34; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 220; 3600; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1606; out; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
8; Black Market Alley; On the south side is the side entrance to a custom leather armor shop. There are at least six shops crammed together in a very small space on the north side of the alley, and even more upstairs above them.  Shop owners stand outside and hawk their wares.; 0; 0; 0; 0; 0; west; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 90; west; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; northeast; 23; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
9; Dur's Think Tank; ; 0; 0; 0; 0; 0; out; 3; 5; 10; 11; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 138; out; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;  ; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
